"AQeCode","Y","Year","Projection","Lon","Lat","Alt","AQeType","AQeArea","HighDens","LowDens","Ind","Transp","Seap","Airp","Constr","UrbGreen","Agri","Forest","AGS","PopDens","PriRoad","SecRoad","FedAuto","LocRoute","indRegions"
"DEST108",17.95532599,2015,"EPSG:4979",11.96096,51.197249,116,"traffic","urban",0,0.710610932475884,0,0.00321543408360129,0,0,0,0.218649517684887,0.067524115755627,0,"15084550",355.683735494978,2464.30780460033,898.056718416088,0,0,"15"
"DETH005",14.82663318,2015,"EPSG:4979",11.368875,50.651182,210,"background","urban",0,0.501597444089457,0.233226837060703,0.153354632587859,0,0,0,0.0479233226837061,0.060702875399361,0.00319488817891374,"16073077",512.74465076561,2929.43389611406,0,0,0,"16"
"DETH009",17.04569986,2015,"EPSG:4979",12.07471,50.877317,190,"background","urban",0,0.564668769716088,0.126182965299685,0.0315457413249211,0,0,0,0.154574132492114,0,0.123028391167192,"16052000",629.82330379204,808.048714455934,0,0,0,"16"
"DETH011",18.35976805,2015,"EPSG:4979",12.437621,50.987758,185,"background","urban",0,0.945686900958466,0,0,0,0,0,0.0543130990415335,0,0,"16077001",712.590967389143,0,0,0,0,"16"
"DETH013",15.75320686,2015,"EPSG:4979",10.317236,50.978292,210,"background","urban",0,0.886075949367089,0,0.0189873417721519,0,0,0,0.0221518987341772,0,0.0727848101265823,"16056000",405.89043903645,1641.85722209491,0,0,0,"16"
"DETH018",18.02609221,2015,"EPSG:4979",10.791404,51.497195,185,"background","urban",0,0.598726114649682,0.261146496815287,0.140127388535032,0,0,0,0,0,0,"16062041",397.429557193959,2484.49102960581,0,0,0,"16"
"DETH020",22.90074573,2015,"EPSG:4979",11.037924,50.979455,195,"background","urban",0.265822784810127,0.670886075949367,0.00316455696202532,0.060126582278481,0,0,0,0,0,0,"16051000",776.53520763061,0,0,0,2107.68379825191,"16"
"DETH026",10.97715295,2015,"EPSG:4979",10.375299,50.561754,450,"background","rural-regional",0,0.0923566878980892,0.299363057324841,0,0,0,0,0,0.343949044585987,0.264331210191083,"16066042",358.143462531849,0,1975.5867187375,0,0,"16"
"DETH027",8.56054125,2015,"EPSG:4979",11.134593,50.499955,840,"background","rural-remote",0,0.167721518987342,0.113924050632911,0,0,0,0,0,0.0569620253164557,0.661392405063291,"16072013",85.5623677887836,1086.75449123274,0,0,0,"16"
"DETH036",16.8442363,2015,"EPSG:4979",12.205199,50.655861,265,"background","urban",0,0.892405063291139,0,0,0,0,0,0.0379746835443038,0.0506329113924051,0.0189873417721519,"16076022",274.693125168678,2341.07185172695,0,0,0,"16"
"DETH041",19.86318228,2015,"EPSG:4979",11.597062,50.933513,140,"background","urban",0,0.619808306709265,0.137380191693291,0,0,0,0,0.242811501597444,0,0,"16053000",952.652155052288,4677.32777683934,0,0,0,"16"
"DETH042",8.04030887,2015,"EPSG:4979",10.867188,51.333333,420,"background","rural-remote",0,0,0,0,0,0,0,0,0,1,"16065067",109.533456691762,0,0,0,0,"16"
"DETH043",37.17352103,2015,"EPSG:4979",11.019353,50.984874,195,"traffic","urban",0.0416666666666667,0.676282051282051,0.169871794871795,0,0,0,0,0.032051282051282,0.0801282051282051,0,"16051000",776.53520763061,0,0,0,0,"16"
"DETH060",16.23580998,2015,"EPSG:4979",10.668641,50.653245,490,"background","urban",0,0.65615141955836,0.205047318611987,0,0,0,0,0,0.0851735015772871,0.0536277602523659,"16066092",375.987908066912,2119.4118047078,0,0,0,"16"
"DETH061",7.41623561,2015,"EPSG:4979",11.661233,50.791616,357,"background","rural-remote",0,0,0,0,0,0,0,0,0.00949367088607595,0.990506329113924,"16074102",31.2905002429159,0,0,0,0,"16"
"DETH072",28.9321209,2015,"EPSG:4979",10.693092,50.61153,430,"traffic","urban",0,0.646496815286624,0.0828025477707006,0,0,0,0,0.111464968152866,0,0.159235668789809,"16054000",358.962162546914,0,2654.45075693777,0,587.337252817681,"16"
"DETH083",26.44893284,2015,"EPSG:4979",11.32607,50.977462,220,"traffic","urban",0,0.806349206349206,0.00317460317460317,0,0,0,0,0.184126984126984,0,0.00634920634920635,"16055000",759.215112259568,3016.19944822142,0,0,0,"16"
"DETH091",29.54693332,2015,"EPSG:4979",10.448476,51.205466,220,"traffic","urban",0,0.939490445859873,0,0,0,0,0,0.00636942675159236,0.054140127388535,0,"16064046",395.476988755167,2128.56570714479,964.284017244984,0,0,"16"
"DETH093",20.03394316,2015,"EPSG:4979",11.3204,50.982544,224,"background","urban",0,0.913738019169329,0.0575079872204473,0,0,0,0,0.0223642172523962,0,0.00638977635782748,"16055000",759.215112259568,2621.92555149315,0,0,0,"16"
